variable,index,mean,sd,median,hdi95_lower,hdi95_upper
sigma_ln_rate_material,"(0,)",1.0083973332478275,0.019060131114258076,1.008060915469307,0.9709338173890617,1.0436143918122094
sigma_ln_rate_material,"(1,)",0.6654733999305538,0.012983482630095692,0.665259977280314,0.6410902800276818,0.6920176162905769
sigma_ln_rate_material,"(2,)",0.37097530447931903,0.007678918701313888,0.37089555971474486,0.3564659590834192,0.38648988177097443
sigma_ln_rate_material,"(3,)",0.3467718345428469,0.006661835514206511,0.34674450930334744,0.3341526146151869,0.35986853062789864
sigma_ln_rate_material,"(4,)",0.5742963666179892,0.01203437064960285,0.5743214372102199,0.5501736238087119,0.5965693189101419
sigma_ln_rate_material,"(5,)",0.3721453097854669,0.007463036406966465,0.3719954369707791,0.3577399302958149,0.38648471976950066
sigma_ln_rate_setup_material,"(0,)",0.06093214255493472,0.032517530629793116,0.054899507351191756,0.010303687326907547,0.12219471171060428
sigma_ln_rate_setup_material,"(1,)",0.14567172651395066,0.04602170651221496,0.13715025051740765,0.07178906438001481,0.2372752701496654
sigma_ln_rate_setup_material,"(2,)",0.15727396008358102,0.04716020156871542,0.14773515160668185,0.0812318044226444,0.2498273599714248
sigma_ln_rate_setup_material,"(3,)",0.09468037700329003,0.030978863145119058,0.08881045263674109,0.04839629981140176,0.15397651777264804
sigma_ln_rate_setup_material,"(4,)",0.20123487147351216,0.05792973630619062,0.19090057386748058,0.10752592369826994,0.3135965770373255
sigma_ln_rate_setup_material,"(5,)",0.10316316174745169,0.033799359861599376,0.09653231502636159,0.04924805491508083,0.1685606354042244
